http://cloc.sourceforge.net v 1.60  T=1.19 s (151.5 files/s, 16527.0 lines/s)
-------------------------------------------------------------------------------------------------------
File                                                                blank        comment           code
Lib\UI\Interfaces\INotification.d.ts                                    8             10             12
Lib\UI\Interfaces\ITrackBar.d.ts                                        4             10             12
Lib\UI\Interfaces\IRadioButton.d.ts                                     6             10             12
Lib\UI\Interfaces\ICheckBox.d.ts                                        5             10             11
Lib\UI\Interfaces\Windows\ILoginWindow.d.ts                             4             16             11
Lib\Data\Enums\DataAccessStatuses.ts                                    2             15             11
Lib\Events\Enums\CollectionModifications.ts                             3             13             11
Lib\Data\Enums\BindingDirections.ts                                     2             13             11
Lib\UI\Interfaces\ISplitContainer.d.ts                                  6             10             11
Lib\Exceptions\Interfaces\IException.d.ts                               4             13             11
Lib\UI\Interfaces\IListBox.d.ts                                         6              9             11
Lib\Collections\Classes\ToStringComparer.ts                             4             15             11
Lib\UI\Interfaces\IListItem.d.ts                                        5              9             11
Lib\UI\Enums\TileSizes.ts                                               3              9             10
Lib\UI\Enums\ProgressSpinnerTypes.ts                                    3             14             10
Lib\UI\Interfaces\ITitleBar.d.ts                                        6              9             10
Lib\UI\Interfaces\ILabel.d.ts                                           4              9             10
Lib\Events\Interfaces\IEventHandler.d.ts                                4             13             10
Lib\UI\Interfaces\IToggleIndicator.d.ts                                 4              9             10
Lib\UI\Enums\TileTypes.ts                                               3              9             10
Lib\UI\Enums\TileBackgroundPositions.ts                                 3             12             10
Lib\UI\Interfaces\ITabControl.d.ts                                      6             10             10
Lib\UI\Interfaces\IProgressBar.d.ts                                     4             10             10
Lib\Data\Enums\UpdateTriggers.ts                                        2             14             10
Lib\UI\Enums\ProgressBarTypes.ts                                        3             14             10
Lib\UI\Interfaces\Windows\IMessageBox.d.ts                              5              9              9
Lib\UI\Interfaces\IStackPanel.d.ts                                      4             11              9
Lib\Data\Interfaces\IBindingGroup.d.ts                                  4             21              9
Lib\UI\Interfaces\IToggleButton.d.ts                                    5              9              9
Lib\UI\Interfaces\IImageBox.d.ts                                        4              9              9
Lib\UI\Enums\SplitterGrip_Orientations.ts                               3             11              9
Lib\UI\Enums\StackPanelOrientations.ts                                  3             11              9
